Household_ID,classification_1,classification_2,classification_3,classification_4,classification_5,HOMEOWNER_DESC,KID_CATEGORY_DESC
22,Age Group4,X,Level6,2,Group5,Homeowner,None/Unknown
157,Age Group1,Y,Level2,2,Group5,Homeowner,None/Unknown
301,Age Group3,X,Level4,4,Group4,Homeowner,2
609,Age Group4,Y,Level5,1,Group6,Unknown,None/Unknown
1297,Age Group3,Y,Level6,1,Group6,Homeowner,None/Unknown
1382,Age Group4,Y,Level5,2,Group5,Homeowner,None/Unknown
1485,Age Group3,Y,Level5,1,Group2,Homeowner,None/Unknown
1873,Age Group3,Y,Level2,1,Group2,Unknown,None/Unknown
2097,Age Group3,X,Level2,5+,Group4,Homeowner,3+
2390,Age Group2,X,Level5,2,Group3,Unknown,None/Unknown
