Store_ID,Product_Category
365,CONDIMENTS/SAUCES
370,PROCESSED
404,CHEESE
370, 
404, 
404,FRZN MEAT/MEAT DINNERS
404,DRY NOODLES/PASTA
404,BUTTER
404,CARROTS
404,COLD CEREAL
318,COUPON/MISC ITEMS
365,HOT CEREAL
365,REFRGRATD JUICES/DRNKS
365,SOUP
404,SALD DRSNG/SNDWCH SPRD
365,FRUIT - SHELF STABLE
365,COLD CEREAL
365,BAG SNACKS
365,DELI MEATS
370,COLD CEREAL
404,DELI SPECIALTIES (RETAIL PK)
370,BACON
370,SALAD MIX
370,MEAT - MISC
404,DELI MEATS
370,TROPICAL FRUIT
370,VEGETABLES - SHELF STABLE
365,SHORTENING/OIL
365,LUNCHMEAT
370,SPICES & EXTRACTS
370,FLUID MILK PRODUCTS
370,CHICKEN/POULTRY
404,CONDIMENTS/SAUCES
404,COFFEE
370,BAG SNACKS
370,CANDY - PACKAGED
365,MARGARINES
365,FD WRAPS/BAGS/TRSH BG
404,COUPON/MISC ITEMS
404,BEEF
370,PICKLE/RELISH/PKLD VEG
365,FLUID MILK PRODUCTS
370,BATH
404,MISC. DAIRY
365,MILK BY-PRODUCTS
365,CHEESES
365,BAKING NEEDS
365,PNT BTR/JELLY/JAMS
404,SHORTENING/OIL
365,VEGETABLES - SHELF STABLE
404,MARGARINES
370,APPLES
404,HOSIERY/SOCKS
370,COUPON/MISC ITEMS
404,BEANS - CANNED GLASS & MW
365,BAKED BREAD/BUNS/ROLLS
404,BAG SNACKS
404,DRY MIX DESSERTS
365,BEEF
365,SALAD MIX
404,VEGETABLES - SHELF STABLE
404,GRAPES
370,SOFT DRINKS
365,PORK
370,GREETING CARDS/WRAP/PARTY SPLY
365,DINNER MXS:DRY
404,PASTA SAUCE
365,SOFT DRINKS
365,TROPICAL FRUIT
365,DRY MIX DESSERTS
370,BAKING MIXES
370,BAKING NEEDS
404,SALAD MIX
365,LAUNDRY DETERGENTS
404,BAKED BREAD/BUNS/ROLLS
365,FROZEN PIE/DESSERTS
370,PASTA SAUCE
365,MISCELLANEOUS
446,BREAD
3383,SOAP - LIQUID & BAR
446,SYRUPS/TOPPINGS
446,DRY NOODLES/PASTA
446,FITNESS&DIET
3383,MOLASSES/SYRUP/PANCAKE MIXS
3383,CANDY - CHECKLANE
446,BAKED BREAD/BUNS/ROLLS
304,HAIR CARE PRODUCTS
446,COLD CEREAL
446,EGGS
3383,WATER - CARBONATED/FLVRD DRINK
446,BERRIES
446,SALAD MIX
446,REFRGRATD JUICES/DRNKS
3383,CHEESE
3383,VEGETABLES - SHELF STABLE
446,YOGURT
446,BEEF
446,FLUID MILK PRODUCTS
3383,SOUP
3382,ONIONS
446,ORGANICS FRUIT & VEGETABLES
3383,SOFT DRINKS
3382,CRACKERS/MISC BKD FD
446,ICE CREAM/MILK/SHERBTS
381,HAIR CARE PRODUCTS
446,DINNER MXS:DRY
446,BAKING MIXES
3382,FLUID MILK PRODUCTS
3383,BATH
3383,BERRIES
446,BAG SNACKS
446,HOUSEHOLD CLEANG NEEDS
446,SEAFOOD-FRESH
446,FROZEN MEAT
446,FD WRAPS/BAGS/TRSH BG
446,AIR CARE
446,HOT DOGS
446,COOKIES/CONES
304,SHAVING CARE PRODUCTS
446,TROPICAL FRUIT
3383,COLD CEREAL
3382,SOFT DRINKS
446,FRZN FRUITS
446,BREAKFAST SWEETS
446,CANDY - CHECKLANE
446,TEAS
446,SOFT DRINKS
3383,CANDY - PACKAGED
446,VALENTINE
3383,HOUSEHOLD CLEANG NEEDS
446,CANDY - PACKAGED
446,PAPER TOWELS
446,ISOTONIC DRINKS
446,VEGETABLES - ALL OTHERS
446,WATER - CARBONATED/FLVRD DRINK
446,CHEESE
446,PNT BTR/JELLY/JAMS
3383,CONDIMENTS/SAUCES
299,SOUP
299,PASTA SAUCE
299,REFRGRATD DOUGH PRODUCTS
299,COOKIES/CONES
31862,LUNCHMEAT
299,SPRING/SUMMER SEASONAL
432,PAPER HOUSEWARES
432,DELI MEATS
432,HISPANIC
299,FRZN BREAKFAST FOODS
432,COOKIES/CONES
31862,YOGURT
432,BEEF
432,COFFEE
31862,FRZN NOVELTIES/WTR ICE
432,BERRIES
31862,BAKED BREAD/BUNS/ROLLS
31862,REFRGRATD JUICES/DRNKS
299,HISPANIC
31862,FRZN VEGETABLE/VEG DSH
31862,FRZN MEAT/MEAT DINNERS
31862,REFRGRATD DOUGH PRODUCTS
432,MEAT - SHELF STABLE
299,SNKS/CKYS/CRKR/CNDY
31862,MEAT - SHELF STABLE
432,FRZN MEAT/MEAT DINNERS
432,SOUP
31862,FROZEN PIZZA
299,BEEF
31862,COLD CEREAL
432,YOGURT
432,LUNCHMEAT
299,HOUSEHOLD CLEANG NEEDS
299,VALUE ADDED FRUIT
432,VALUE ADDED FRUIT
299,ORAL HYGIENE PRODUCTS
31862,CRACKERS/MISC BKD FD
31862,HEAT/SERVE
432,BREAKFAST SAUSAGE/SANDWICHES
432,FRZN BREAKFAST FOODS
299,FRZN MEAT/MEAT DINNERS
432,SNACK NUTS
299,YOGURT
432,BAKED BREAD/BUNS/ROLLS
31862,UNKNOWN
432,TROPICAL FRUIT
31862,BERRIES
299,VEGETABLES - SHELF STABLE
31862,CHEESES
31862,PASTA SAUCE
31862,BAKED SWEET GOODS
432,REFRGRATD DOUGH PRODUCTS
31862,CANNED JUICES
31862,PORK
432,BAKED SWEET GOODS
31862,VALUE ADDED FRUIT
432,APPLES
432,CRACKERS/MISC BKD FD
432,SALAD MIX
31862,DELI MEATS
299,DRY BN/VEG/POTATO/RICE
432,HEAT/SERVE
432,FROZEN BREAD/DOUGH
432,FRZN JCE CONC/DRNKS
299,BATH TISSUES
432,TOMATOES
432,SEAFOOD-FRESH
299,BAKED BREAD/BUNS/ROLLS
31862,BEEF
299,BACON
432,CANNED JUICES
388,SOFT DRINKS
388,MEAT - SHELF STABLE
432,SEAFOOD - SHELF STABLE
388,FILM AND CAMERA PRODUCTS
319,LAXATIVES
432,FRZN ICE
388,BAKED SWEET GOODS
432,CIGARETTES
388,REFRGRATD JUICES/DRNKS
432,COOKIES
432,CANDY - CHECKLANE
432,SOFT DRINKS
382,CHICKEN
382,FRZN ICE
432,REFRGRATD JUICES/DRNKS
388,COOKIES/CONES
432,WATER - CARBONATED/FLVRD DRINK
432,FLOUR & MEALS
432,FLUID MILK PRODUCTS
388,COFFEE
432,COUPON/MISC ITEMS
388,CANDY - CHECKLANE
388, 
388,CANDY - PACKAGED
388,LUNCHMEAT
433,DRY SAUCES/GRAVY
432,WAREHOUSE SNACKS
388,DINNER SAUSAGE
432,DRY BN/VEG/POTATO/RICE
388,PREPARED FOOD
388,SALAD BAR
433,CIGARETTES
432,SPRING/SUMMER SEASONAL
388,FLUID MILK PRODUCTS
432,PAPER TOWELS
432,EGGS
382,SOFT DRINKS
432,HOT DOGS
432,BAG SNACKS
432,CHEESE
388,TROPICAL FRUIT
432,BACON
432,HOT CEREAL
432,ROLLS
433,BAKED SWEET GOODS
304,FRZN VEGETABLE/VEG DSH
304,MARGARINES
304,PAPER HOUSEWARES
31862,SALAD MIX
450,TOMATOES
396,VALUE ADDED FRUIT
375,REFRIGERATED
375,FRUIT - SHELF STABLE
31862,VEGETABLES - ALL OTHERS
375,AIR CARE
375,PLASTIC HOUSEWARES
396,EGGS
304,BAG SNACKS
375,ONIONS
375,BUTTER
375,SOFT DRINKS
396,ONIONS
450,VEGETABLES - SHELF STABLE
304,SOFT DRINKS
450,FLORAL-FRESH CUT
375,BATH TISSUES
375,WATER - CARBONATED/FLVRD DRINK
375,POTATOES
304,CARROTS
375,TROPICAL FRUIT
375,BROCCOLI/CAULIFLOWER
375,ORGANICS FRUIT & VEGETABLES
450,PEPPERS-ALL
304,YOGURT
304,SNACK NUTS
375,FRZN VEGETABLE/VEG DSH
375,NO COMMODITY DESCRIPTION
304,NUTS
375,SINUS AND ALLERGY
396,STATIONERY & SCHOOL SUPPLIES
375,CHEESE
375,VEGETABLES SALAD
31862,PEPPERS-ALL
396,GRAPES
375,COUPON/MISC ITEMS
304,NO COMMODITY DESCRIPTION
375,FD WRAPS/BAGS/TRSH BG
396,POTATOES
396,YOGURT
396,GREETING CARDS/WRAP/PARTY SPLY
396,TOMATOES
450,BAKED BREAD/BUNS/ROLLS
450,BERRIES
375,FLUID MILK PRODUCTS
304,ONIONS
304,BAKED BREAD/BUNS/ROLLS
375,CANDY - CHECKLANE
450,PAPER TOWELS
304,PNT BTR/JELLY/JAMS
396,FRZN VEGETABLE/VEG DSH
304,TROPICAL FRUIT
450,HERBS
309,PLASTIC HOUSEWARES
396,TROPICAL FRUIT
304,GREETING CARDS/WRAP/PARTY SPLY
304,EGGS
375,BAKED BREAD/BUNS/ROLLS
375,TOBACCO OTHER
396,HERBS
375,CAKES
375,APPLES
304,POTATOES
396,FLUID MILK PRODUCTS
450,COLD CEREAL
396,BUTTER
396,CARROTS
450,FRZN VEGETABLE/VEG DSH
304,TOMATOES
375,CHICKEN
396,BREAD
375,HERBS
375,SUGARS/SWEETNERS
375,CARROTS
375,TOMATOES
288,BAKED BREAD/BUNS/ROLLS
288,BAKED SWEET GOODS
288,CANNED JUICES
288,SOFT DRINKS
288,PAPER HOUSEWARES
288,YOGURT
288,PNT BTR/JELLY/JAMS
288,MARGARINES
288,SHORTENING/OIL
288,VEGETABLES SALAD
288,WATER - CARBONATED/FLVRD DRINK
288,SPICES & EXTRACTS
288,SOUP
288,CHEESE
288,CANDY - CHECKLANE
288,MEAT - MISC
288,LUNCHMEAT
288,HEAT/SERVE
288,CRACKERS/MISC BKD FD
288,BEEF
288,FRZN MEAT/MEAT DINNERS
288,FLUID MILK PRODUCTS
288,SALD DRSNG/SNDWCH SPRD
288,VEGETABLES - SHELF STABLE
288,PLASTIC HOUSEWARES
288,MILK BY-PRODUCTS
288,HISPANIC
288,HAND/BODY/FACIAL PRODUCTS
288,TURKEY
288,BAG SNACKS
288,EGGS
288,REFRGRATD JUICES/DRNKS
288,LAXATIVES
288,CONDIMENTS/SAUCES
288,DRIED FRUIT
288,MISC. DAIRY
288,TROPICAL FRUIT
288,PEPPERS-ALL
288,BAKING NEEDS
288,LAWN AND GARDEN SHOP
288,BEANS - CANNED GLASS & MW
288,DOG FOODS
288,COOKIES/CONES
288,VEGETABLES - ALL OTHERS
288,POTATOES
288,COLD CEREAL
288,PICKLE/RELISH/PKLD VEG
288,HOUSEHOLD CLEANG NEEDS
32004,MAKEUP AND TREATMENT
32004,YOGURT
32004,FRZN MEAT/MEAT DINNERS
32004,COFFEE
32004,ORGANICS FRUIT & VEGETABLES
445,PNT BTR/JELLY/JAMS
32004,EYE AND EAR CARE PRODUCTS
32004,VEGETABLES - SHELF STABLE
32004,BAG SNACKS
32004,WATER - CARBONATED/FLVRD DRINK
32004,FACIAL TISS/DNR NAPKIN
32004,VALUE ADDED VEGETABLES
32004,CANDLES/ACCESSORIES
32004,SALADS/DIPS
32004,KITCHEN GADGETS
32004,SOFT DRINKS
32004,COLD CEREAL
445,BOOKSTORE
32004,MAGAZINE
32004,TOMATOES
32004,ROLLS
32004,CHEESES
32004,CANDY - PACKAGED
32004,CANNED JUICES
32004,FEMININE HYGIENE
32004,ORAL HYGIENE PRODUCTS
32004,CHICKEN
32004,PNT BTR/JELLY/JAMS
32004,TROPICAL FRUIT
32004,ISOTONIC DRINKS
32004,BEEF
32004,PAPER HOUSEWARES
32004, 
32004,CHEESE
32004,FRZN NOVELTIES/WTR ICE
32004,FLUID MILK PRODUCTS
32004,VITAMINS
445,CIGARETTES
32004,REFRGRATD JUICES/DRNKS
32004,SANDWICHES
32004,COLD AND FLU
32004,HOUSEHOLD CLEANG NEEDS
438,PEPPERS-ALL
32004,CONDIMENTS/SAUCES
32004,ICE CREAM/MILK/SHERBTS
438,YOGURT
32004,CANDY - CHECKLANE
32004,CIGARETTES
32004,BEERS/ALES
32004,SALAD MIX
32004,HAIR CARE PRODUCTS
32004,DEODORANTS
32004,ANALGESICS
438,DELI MEATS
32004,MILK BY-PRODUCTS
32004,CAKES
445,HAND/BODY/FACIAL PRODUCTS
32004,BREAKFAST SWEETS
32004,VALUE ADDED FRUIT
752,BREAKFAST SWEETS
32004,BAKED BREAD/BUNS/ROLLS
438,FLUID MILK PRODUCTS
32004,TOBACCO OTHER
361,INFANT FORMULA
320,YOGURT
320,BABY FOODS
361,BAG SNACKS
320,DINNER MXS:DRY
361,HISPANIC
320,COLD CEREAL
320,FLUID MILK PRODUCTS
320,REFRGRATD JUICES/DRNKS
320,TROPICAL FRUIT
320,CHEESE
320,FRZN BREAKFAST FOODS
333,CANDY - CHECKLANE
361,COUPON/MISC ITEMS
361,ELECTRICAL SUPPPLIES
320,BAKING MIXES
333,COOKIES/CONES
320,CONVENIENT BRKFST/WHLSM SNACKS
320,BABY HBC
320,CANDY - CHECKLANE
320,TOMATOES
361,SOFT DRINKS
320,DELI MEATS
361,GREETING CARDS/WRAP/PARTY SPLY
320,SOFT DRINKS
320,WAREHOUSE SNACKS
320,CARROTS
361,ISOTONIC DRINKS
333,BREAKFAST SAUSAGE/SANDWICHES
320,BAKED BREAD/BUNS/ROLLS
320,PORK
320,LAUNDRY DETERGENTS
320,REFRGRATD DOUGH PRODUCTS
320,FRZN VEGETABLE/VEG DSH
333,BABY FOODS
320,LUNCHMEAT
333,ISOTONIC DRINKS
320,COOKIES/CONES
361,CANDY - PACKAGED
320,WATER
320,MEAT - SHELF STABLE
320,BAG SNACKS
320,CANNED JUICES
320,SALAD MIX
320,ISOTONIC DRINKS
320,CANDY - PACKAGED
320,FRZN JCE CONC/DRNKS
333,FRZN MEAT/MEAT DINNERS
361,CIGARETTES
333,MEAT - SHELF STABLE
320,FRZN NOVELTIES/WTR ICE
361,CANDY - CHECKLANE
320,FROZEN - BOXED(GROCERY)
320,BEANS - CANNED GLASS & MW
361,BAKED BREAD/BUNS/ROLLS
320,GRAPES
333,CONDIMENTS/SAUCES
320,POPCORN
320,PAPER TOWELS
320,STONE FRUIT
361,DELI MEATS
361,FRZN MEAT/MEAT DINNERS
361,BAKED SWEET GOODS
320,EGGS
320,BAKED SWEET GOODS
361,COLD AND FLU
320,CIGARETTES
403,COLD CEREAL
403,BREAD
403,SOFT DRINKS
403,FRZN MEAT/MEAT DINNERS
403,BEEF
403,PAPER HOUSEWARES
403,ROLLS
403,VEGETABLES SALAD
403,FLUID MILK PRODUCTS
318,FUEL
403,VEGETABLES - ALL OTHERS
403,ICE CREAM/MILK/SHERBTS
403,SPRING/SUMMER SEASONAL
403,SALD DRSNG/SNDWCH SPRD
403,SOUP
403,ONIONS
403,FRZN NOVELTIES/WTR ICE
403,FRZN POTATOES
403,CONVENIENT BRKFST/WHLSM SNACKS
403,PROCESSED
403,BACON
403,PASTA SAUCE
403,HOT CEREAL
403,SPICES & EXTRACTS
403,DINNER SAUSAGE
403,BAKED BREAD/BUNS/ROLLS
403,GREETING CARDS/WRAP/PARTY SPLY
403,FROZEN MEAT
403,CHICKEN
310,COUPON/MISC ITEMS
403,TURKEY
403, 
403,SUNTAN
403,PARTY TRAYS
403,APPLES
403,EGGS
403,CRACKERS/MISC BKD FD
403,STATIONERY & SCHOOL SUPPLIES
403,CAKES
403,FROZEN BREAD/DOUGH
403,REFRGRATD DOUGH PRODUCTS
403,PORK
403,REFRGRATD JUICES/DRNKS
365,FIRST AID PRODUCTS
403,COFFEE
403,BAG SNACKS
403,CHEESE
361,COUPONS/STORE & MFG
403,BAKED SWEET GOODS
403,FRZN VEGETABLE/VEG DSH
410,SOUP
352,FRZN ICE
424,BAG SNACKS
318,MAKEUP AND TREATMENT
439,HOT DOGS
298,FD WRAPS/BAGS/TRSH BG
424,MILK BY-PRODUCTS
298,CHEESE
289,CANDY - PACKAGED
424,OLIVES
321, 
318,GREETING CARDS/WRAP/PARTY SPLY
352,SOFT DRINKS
298,ANTACIDS
424,SOFT DRINKS
298,GREETING CARDS/WRAP/PARTY SPLY
318,CANDY - PACKAGED
356,CANDY - CHECKLANE
298,PLASTIC HOUSEWARES
298,HAIR CARE PRODUCTS
424,CANDY - PACKAGED
410,FRZN BREAKFAST FOODS
410,LUNCHMEAT
410,BERRIES
289,PNT BTR/JELLY/JAMS
321,ANTACIDS
298,MAKEUP AND TREATMENT
410,ISOTONIC DRINKS
410,FRUIT - SHELF STABLE
318,SOFT DRINKS
298,PWDR/CRYSTL DRNK MX
318,FIRST AID PRODUCTS
298,FEMININE HYGIENE
352,MUSHROOMS
321,LUNCHMEAT
298,SOFT DRINKS
298,VALUE ADDED FRUIT
410,BAKED BREAD/BUNS/ROLLS
424,FRZN NOVELTIES/WTR ICE
424,SANDWICHES
410,CHEESE
424,STONE FRUIT
424,MISC WINE
424,CHICKEN
298,CHICKEN/POULTRY
289,FRZN BREAKFAST FOODS
321,FLUID MILK PRODUCTS
410,CANDY - PACKAGED
298,MAGAZINE
289,MARGARINES
424,MAKEUP AND TREATMENT
298,STATIONERY & SCHOOL SUPPLIES
424,CHEESES
410,MEAT - SHELF STABLE
410,VALUE ADDED FRUIT
289,PAPER HOUSEWARES
298,CANDY - PACKAGED
289,ELECTRICAL SUPPPLIES
31582,SOFT DRINKS
31582, 
321,BAG SNACKS
298,CONDIMENTS/SAUCES
410,BEEF
356,COLD CEREAL
410,RICE CAKES
424,HOSIERY/SOCKS
298,BAKED BREAD/BUNS/ROLLS
424,HISPANIC
318,COLD CEREAL
424,FACIAL TISS/DNR NAPKIN
410,BATH TISSUES
321,BAKED BREAD/BUNS/ROLLS
410,CRACKERS/MISC BKD FD
410,PNT BTR/JELLY/JAMS
289,FRZN POTATOES
321,CONDIMENTS/SAUCES
298,CHRISTMAS  SEASONAL
31582,CANDY - CHECKLANE
3298,COLD AND FLU
298,GRAPES
298,SALAD BAR
321,HAIR CARE PRODUCTS
289,SOFT DRINKS
321,PAPER HOUSEWARES
